Frame,middle,rear,left_hind,left_front,head,right_hind,right_front
324,"(0.0, 1520.0)","(6.0, 1464.0)","(-35.0, 1422.0)","(-34.0, 1602.0)","(12.0, 1566.0)","(59.0, 1484.0)","(45.0, 1502.0)"
325,"(0.0, 1530.0)","(2.0, 1470.0)","(-32.0, 1426.0)","(-38.0, 1602.0)","(19.0, 1576.0)","(60.0, 1484.0)","(42.0, 1512.0)"
326,"(3.0, 1534.0)","(3.0, 1481.0)","(-28.0, 1433.0)","(-33.0, 1604.0)","(14.0, 1580.0)","(53.17, 1485.33)","(42.0, 1518.0)"
327,"(3.0, 1534.0)","(3.0, 1481.0)","(-28.0, 1433.0)","(-34.0, 1604.0)","(14.0, 1580.0)","(55.53, 1485.22)","(42.0, 1518.0)"
328,"(9.0, 1538.0)","(2.0, 1474.0)","(-32.0, 1438.0)","(-38.0, 1602.0)","(16.0, 1584.0)","(52.0, 1490.0)","(44.0, 1522.0)"
329,"(12.0, 1543.0)","(8.0, 1490.0)","(-28.0, 1446.0)","(-38.0, 1602.0)","(18.0, 1592.0)","(54.0, 1488.0)","(44.0, 1528.0)"
330,"(12.0, 1548.0)","(5.0, 1498.0)","(-34.0, 1456.0)","(-38.0, 1602.0)","(18.0, 1596.0)","(44.0, 1492.0)","(49.33, 1547.67)"
331,"(13.0, 1554.0)","(10.0, 1502.0)","(-38.0, 1468.0)","(-38.0, 1604.0)","(14.0, 1606.0)","(45.0, 1492.0)","(56.0, 1574.0)"
332,"(17.0, 1562.0)","(14.0, 1510.0)","(-41.33, 1477.0)","(-34.0, 1604.0)","(12.0, 1612.0)","(53.0, 1483.0)","(60.0, 1586.0)"
333,"(17.0, 1562.0)","(14.0, 1510.0)","(-46.0, 1492.0)","(-34.0, 1604.0)","(12.0, 1612.0)","(53.0, 1483.0)","(60.0, 1586.0)"
334,"(19.0, 1574.0)","(12.0, 1519.0)","(-56.0, 1508.0)","(-34.0, 1604.0)","(15.0, 1618.0)","(51.0, 1486.0)","(66.0, 1604.0)"
335,"(20.0, 1580.0)","(9.0, 1520.0)","(-54.0, 1522.0)","(-38.0, 1602.0)","(14.0, 1624.0)","(49.33, 1488.5)","(66.0, 1622.0)"
336,"(20.0, 1587.0)","(10.0, 1528.0)","(-53.0, 1538.0)","(-36.0, 1602.0)","(12.0, 1632.0)","(48.0, 1486.0)","(70.0, 1638.0)"
337,"(19.0, 1594.0)","(18.0, 1541.0)","(-52.0, 1550.0)","(-36.0, 1602.0)","(12.0, 1638.0)","(49.0, 1488.0)","(60.33, 1643.0)"
338,"(22.0, 1600.0)","(18.0, 1546.0)","(-56.0, 1562.0)","(-37.0, 1604.0)","(10.0, 1646.0)","(48.0, 1488.0)","(49.0, 1668.0)"
339,"(22.0, 1600.0)","(18.0, 1546.0)","(-56.0, 1562.0)","(-35.0, 1604.0)","(10.0, 1646.0)","(48.0, 1488.0)","(49.0, 1668.0)"
340,"(15.0, 1604.0)","(14.0, 1552.0)","(-56.0, 1580.0)","(-34.0, 1612.0)","(5.0, 1652.0)","(50.0, 1494.0)","(54.0, 1678.0)"
341,"(16.0, 1612.0)","(13.0, 1558.0)","(-50.0, 1586.0)","(-38.0, 1612.0)","(5.0, 1658.0)","(50.0, 1502.0)","(58.0, 1682.0)"
342,"(20.0, 1618.0)","(20.0, 1564.0)","(-50.0, 1590.0)","(-31.0, 1617.0)","(6.0, 1666.0)","(56.0, 1506.0)","(58.0, 1684.0)"
343,"(12.0, 1626.0)","(18.0, 1564.0)","(-46.0, 1590.0)","(-30.0, 1622.0)","(0.0, 1672.0)","(49.0, 1517.0)","(58.0, 1684.0)"
344,"(10.0, 1631.0)","(17.0, 1575.0)","(-42.0, 1590.0)","(-34.0, 1622.0)","(4.0, 1680.0)","(49.0, 1519.5)","(60.0, 1686.0)"
345,"(10.0, 1631.0)","(17.0, 1575.0)","(-42.0, 1590.0)","(-34.0, 1622.0)","(4.0, 1680.0)","(46.0, 1526.0)","(60.0, 1686.0)"
346,"(14.0, 1636.0)","(22.0, 1580.0)","(-40.0, 1590.0)","(-30.0, 1628.0)","(5.0, 1683.0)","(47.0, 1540.0)","(60.0, 1686.0)"
347,"(14.0, 1636.0)","(22.0, 1580.0)","(-40.0, 1590.0)","(-30.0, 1628.0)","(5.0, 1683.0)","(47.0, 1540.0)","(58.0, 1686.0)"
348,"(11.0, 1645.0)","(19.0, 1587.0)","(-38.0, 1590.0)","(-34.0, 1640.0)","(4.0, 1689.0)","(47.0, 1548.0)","(54.0, 1686.0)"
349,"(8.0, 1648.0)","(16.0, 1594.0)","(-39.0, 1590.0)","(-40.0, 1655.0)","(-4.0, 1694.0)","(50.17, 1559.33)","(51.0, 1686.0)"
350,"(12.0, 1654.0)","(18.0, 1598.67)","(-38.0, 1590.0)","(-46.0, 1667.0)","(-4.0, 1698.0)","(54.0, 1570.0)","(48.0, 1686.0)"
351,"(12.0, 1654.0)","(20.0, 1603.33)","(-36.0, 1590.0)","(-46.0, 1667.0)","(-4.0, 1698.0)","(54.0, 1570.0)","(48.0, 1686.0)"
352,"(10.0, 1660.0)","(22.0, 1608.0)","(-40.0, 1588.0)","(-46.0, 1676.0)","(0.0, 1704.0)","(54.19, 1589.39)","(44.0, 1686.0)"
353,"(0.0, 1666.0)","(20.0, 1614.0)","(-38.0, 1588.0)","(-50.5, 1693.5)","(6.0, 1712.0)","(56.0, 1622.0)","(46.0, 1682.0)"
354,"(0.0, 1674.0)","(17.0, 1624.0)","(-36.0, 1589.0)","(-58.0, 1716.0)","(6.0, 1718.0)","(62.0, 1606.0)","(42.0, 1680.0)"
355,"(-2.0, 1681.0)","(18.0, 1630.0)","(-40.0, 1588.0)","(-50.75, 1721.58)","(4.0, 1724.0)","(63.0, 1624.0)","(40.0, 1680.0)"
356,"(-1.0, 1689.0)","(15.0, 1641.0)","(-38.0, 1592.0)","(-48.0, 1754.0)","(6.0, 1730.0)","(70.0, 1636.0)","(34.0, 1678.0)"
357,"(-1.0, 1689.0)","(16.0, 1636.0)","(-38.0, 1592.0)","(-48.0, 1754.0)","(6.0, 1730.0)","(70.0, 1636.0)","(34.0, 1678.0)"
358,"(-2.0, 1692.0)","(16.0, 1644.0)","(-40.0, 1592.0)","(-48.0, 1764.0)","(6.0, 1734.0)","(78.0, 1650.0)","(27.0, 1678.0)"
359,"(-4.0, 1697.0)","(12.0, 1642.0)","(-36.0, 1596.0)","(-41.0, 1774.0)","(8.0, 1740.0)","(64.83, 1655.33)","(26.0, 1685.0)"
360,"(2.0, 1704.0)","(9.0, 1647.0)","(-36.0, 1602.0)","(-36.0, 1790.0)","(10.0, 1750.0)","(60.0, 1672.0)","(45.0, 1691.0)"
361,"(-2.0, 1708.0)","(6.0, 1652.0)","(-33.0, 1610.0)","(-36.0, 1791.0)","(12.0, 1754.0)","(60.0, 1672.0)","(46.0, 1692.0)"
362,"(0.0, 1718.0)","(2.0, 1660.0)","(-32.0, 1614.0)","(-40.0, 1790.0)","(19.0, 1764.0)","(54.0, 1672.0)","(43.0, 1702.0)"
363,"(6.0, 1723.0)","(8.0, 1672.0)","(-27.0, 1622.0)","(-40.0, 1790.0)","(14.0, 1768.0)","(49.0, 1676.33)","(43.0, 1708.0)"
364,"(6.0, 1723.0)","(8.0, 1672.0)","(-27.0, 1622.0)","(-40.0, 1790.0)","(14.0, 1768.0)","(34.0, 1682.0)","(43.0, 1708.0)"
365,"(5.0, 1726.0)","(5.5, 1675.0)","(-30.0, 1626.0)","(-34.0, 1791.0)","(14.0, 1772.0)","(52.0, 1678.0)","(44.0, 1710.0)"
366,"(13.0, 1732.0)","(3.0, 1678.0)","(-34.0, 1634.0)","(-34.0, 1791.0)","(17.0, 1780.0)","(53.0, 1676.0)","(43.0, 1716.0)"
367,"(14.0, 1737.0)","(4.0, 1686.0)","(-34.0, 1644.0)","(-38.0, 1790.0)","(21.0, 1785.0)","(52.0, 1675.0)","(50.0, 1735.83)"
368,"(14.0, 1743.0)","(5.0, 1692.0)","(-38.0, 1656.0)","(-38.0, 1792.0)","(14.0, 1794.0)","(54.0, 1671.0)","(60.0, 1761.0)"
369,"(16.0, 1750.0)","(12.0, 1700.0)","(-42.0, 1665.33)","(-38.0, 1792.0)","(17.0, 1802.0)","(52.0, 1672.0)","(60.0, 1774.0)"
370,"(16.0, 1750.0)","(12.0, 1700.0)","(-46.0, 1680.0)","(-38.0, 1792.0)","(17.0, 1802.0)","(52.0, 1672.0)","(60.0, 1774.0)"
371,"(18.0, 1762.0)","(12.0, 1702.0)","(-54.0, 1698.0)","(-38.0, 1792.0)","(13.0, 1806.0)","(48.0, 1674.0)","(70.0, 1790.0)"
372,"(20.0, 1768.0)","(12.0, 1704.0)","(-50.0, 1712.0)","(-36.0, 1791.0)","(12.0, 1812.0)","(52.0, 1676.0)","(70.0, 1810.0)"
373,"(19.0, 1776.0)","(11.0, 1720.0)","(-56.0, 1726.0)","(-34.0, 1791.0)","(13.0, 1822.0)","(52.0, 1675.0)","(68.0, 1827.0)"
374,"(19.0, 1782.0)","(14.5, 1727.0)","(-52.0, 1738.0)","(-37.0, 1791.0)","(8.0, 1826.0)","(48.0, 1676.0)","(62.67, 1831.5)"
375,"(19.0, 1790.0)","(18.0, 1734.0)","(-56.0, 1750.0)","(-38.0, 1792.0)","(8.0, 1834.0)","(48.0, 1678.0)","(54.0, 1858.0)"
376,"(19.0, 1790.0)","(18.0, 1734.0)","(-56.0, 1750.0)","(-38.0, 1792.0)","(8.0, 1834.0)","(48.0, 1678.0)","(54.0, 1858.0)"
377,"(18.0, 1794.0)","(12.0, 1740.0)","(-53.17, 1760.0)","(-34.0, 1800.0)","(9.0, 1842.0)","(50.0, 1684.0)","(54.0, 1866.0)"
378,"(19.0, 1801.0)","(12.0, 1746.0)","(-54.0, 1774.0)","(-38.0, 1800.0)","(4.0, 1846.0)","(50.0, 1688.0)","(56.0, 1870.0)"
379,"(20.0, 1806.0)","(16.0, 1746.0)","(-47.0, 1778.0)","(-36.0, 1806.0)","(9.0, 1856.0)","(54.0, 1694.0)","(58.0, 1872.0)"
380,"(17.0, 1816.0)","(16.0, 1752.0)","(-42.0, 1780.0)","(-30.0, 1810.0)","(5.0, 1862.0)","(48.0, 1708.0)","(60.0, 1872.0)"
381,"(9.0, 1818.0)","(17.0, 1763.0)","(-44.0, 1778.0)","(-26.0, 1811.0)","(2.0, 1868.0)","(46.0, 1714.0)","(60.0, 1874.0)"
382,"(9.0, 1818.0)","(17.0, 1763.0)","(-44.0, 1778.0)","(-26.0, 1811.0)","(2.0, 1868.0)","(46.0, 1714.0)","(60.0, 1874.0)"
383,"(18.0, 1824.0)","(16.5, 1765.5)","(-42.0, 1778.0)","(-30.0, 1817.0)","(4.0, 1872.0)","(46.0, 1729.0)","(58.0, 1874.0)"
384,"(18.0, 1824.0)","(16.0, 1768.0)","(-42.0, 1778.0)","(-30.0, 1817.0)","(4.0, 1872.0)","(46.0, 1729.0)","(58.0, 1874.0)"
385,"(11.0, 1834.0)","(17.0, 1775.5)","(-39.0, 1778.0)","(-36.0, 1828.0)","(4.0, 1878.0)","(46.0, 1736.0)","(56.0, 1876.0)"
386,"(8.0, 1836.0)","(18.0, 1783.0)","(-40.0, 1778.0)","(-42.0, 1844.0)","(-4.0, 1882.0)","(49.0, 1747.67)","(56.0, 1876.0)"
387,"(12.0, 1843.0)","(19.33, 1787.33)","(-39.0, 1778.0)","(-46.0, 1856.0)","(-2.0, 1887.0)","(52.0, 1758.0)","(48.0, 1874.0)"
388,"(15.0, 1844.0)","(20.67, 1791.67)","(-39.0, 1778.0)","(-46.0, 1856.0)","(-2.0, 1887.0)","(52.0, 1758.0)","(48.0, 1874.0)"
389,"(8.0, 1849.0)","(22.0, 1796.0)","(-38.0, 1778.0)","(-48.0, 1864.0)","(0.0, 1893.0)","(56.0, 1776.0)","(45.0, 1872.0)"
390,"(0.0, 1856.0)","(24.0, 1806.0)","(-34.0, 1778.0)","(-51.5, 1882.0)","(2.0, 1900.0)","(55.0, 1784.33)","(46.0, 1870.0)"
391,"(-2.0, 1862.0)","(26.0, 1814.0)","(-36.0, 1778.0)","(-60.0, 1904.0)","(2.0, 1906.0)","(60.0, 1794.0)","(42.0, 1868.0)"
392,"(-3.0, 1870.0)","(18.0, 1824.0)","(-38.0, 1778.0)","(-52.25, 1909.67)","(9.0, 1914.0)","(62.0, 1812.0)","(38.0, 1868.0)"
393,"(0.0, 1877.0)","(16.0, 1830.0)","(-38.0, 1780.0)","(-49.0, 1942.0)","(6.0, 1918.0)","(70.0, 1824.0)","(34.0, 1866.0)"
394,"(0.0, 1877.0)","(16.0, 1830.0)","(-38.0, 1780.0)","(-49.0, 1942.0)","(6.0, 1918.0)","(70.0, 1824.0)","(34.0, 1866.0)"
395,"(2.0, 1880.0)","(14.0, 1823.0)","(-38.0, 1782.0)","(-48.0, 1952.0)","(11.0, 1924.0)","(62.5, 1836.0)","(26.0, 1866.0)"
396,"(-6.0, 1885.0)","(12.0, 1836.0)","(-34.0, 1784.0)","(-41.0, 1962.0)","(6.0, 1928.0)","(51.0, 1855.0)","(26.0, 1874.0)"
397,"(-2.0, 1890.0)","(6.0, 1836.0)","(-34.0, 1786.0)","(-39.0, 1973.0)","(8.0, 1934.0)","(65.38, 1843.25)","(21.0, 1878.0)"
399,"(-12.0, 1888.0)","(4.0, 1836.0)","(-50.0, 1798.0)","(-54.0, 1936.0)","(1.0, 1934.0)","(38.17, 1829.83)","(42.0, 1906.0)"
400,"(-12.0, 1888.0)","(6.0, 1836.0)","(-50.0, 1798.0)","(-54.0, 1936.0)","(1.0, 1934.0)","(38.19, 1834.64)","(44.0, 1906.0)"
401,"(-10.0, 1894.0)","(6.0, 1839.0)","(-52.0, 1798.0)","(-50.0, 1954.0)","(0.0, 1940.0)","(38.73, 1844.25)","(40.0, 1904.0)"
402,"(-10.0, 1894.0)","(6.0, 1842.0)","(-50.0, 1800.0)","(-49.0, 1954.0)","(0.0, 1940.0)","(32.0, 1860.0)","(40.0, 1904.0)"
403,"(-10.0, 1900.0)","(6.0, 1845.0)","(-48.0, 1802.0)","(-48.5, 1967.0)","(1.0, 1944.0)","(42.32, 1858.31)","(40.0, 1904.0)"
404,"(-9.0, 1907.0)","(6.0, 1850.0)","(-42.0, 1806.0)","(-46.0, 1986.0)","(9.0, 1952.0)","(44.01, 1867.09)","(42.0, 1908.0)"
405,"(-10.0, 1912.0)","(3.33, 1853.33)","(-36.0, 1808.0)","(-42.0, 1998.0)","(8.0, 1956.0)","(50.05, 1873.07)","(44.0, 1906.0)"
406,"(-10.0, 1912.0)","(0.67, 1856.67)","(-38.0, 1808.0)","(-42.0, 1998.0)","(8.0, 1956.0)","(60.0, 1883.0)","(44.0, 1906.0)"
407,"(-6.0, 1918.0)","(-2.0, 1860.0)","(-39.0, 1812.0)","(-37.0, 2003.0)","(13.0, 1964.0)","(64.0, 1888.0)","(46.0, 1911.0)"
408,"(0.0, 1924.0)","(1.0, 1871.0)","(-36.0, 1822.0)","(-36.0, 2010.0)","(10.0, 1970.0)","(60.0, 1892.0)","(46.0, 1910.0)"
409,"(-2.0, 1928.0)","(4.0, 1872.0)","(-35.0, 1830.0)","(-35.0, 2012.0)","(12.0, 1974.0)","(60.0, 1892.0)","(46.0, 1910.0)"
410,"(0.0, 1938.0)","(2.0, 1880.0)","(-32.0, 1834.0)","(-37.0, 2012.0)","(18.0, 1984.0)","(57.0, 1892.0)","(43.0, 1922.0)"
411,"(6.0, 1943.0)","(2.0, 1890.0)","(-30.0, 1842.0)","(-33.0, 2012.0)","(14.0, 1988.0)","(56.0, 1888.0)","(43.0, 1928.0)"
412,"(6.0, 1943.0)","(2.0, 1890.0)","(-30.0, 1842.0)","(-35.0, 2012.0)","(14.0, 1988.0)","(56.0, 1888.0)","(43.0, 1928.0)"
413,"(5.0, 1946.0)","(4.0, 1882.0)","(-33.0, 1846.0)","(-34.0, 2011.0)","(19.0, 1994.0)","(52.0, 1898.0)","(40.0, 1930.0)"
414,"(12.0, 1952.0)","(3.0, 1896.0)","(-32.0, 1854.0)","(-34.0, 2011.0)","(17.0, 2000.0)","(52.0, 1896.0)","(43.0, 1936.0)"
415,"(14.0, 1957.0)","(6.0, 1901.5)","(-34.0, 1864.0)","(-34.0, 2011.0)","(17.0, 2004.0)","(44.0, 1899.0)","(49.33, 1955.17)"
416,"(14.0, 1963.0)","(9.0, 1907.0)","(-38.0, 1878.0)","(-37.0, 2012.0)","(14.0, 2014.0)","(39.0, 1900.0)","(60.0, 1979.0)"
417,"(21.0, 1972.0)","(9.0, 1914.0)","(-41.33, 1886.0)","(-36.0, 2012.0)","(17.0, 2022.0)","(50.0, 1890.0)","(60.0, 1992.0)"
418,"(21.0, 1972.0)","(9.0, 1914.0)","(-46.0, 1900.0)","(-36.0, 2012.0)","(16.0, 2022.0)","(50.0, 1890.0)","(60.0, 1992.0)"
419,"(18.0, 1982.0)","(10.42, 1921.08)","(-54.0, 1918.0)","(-35.0, 2012.0)","(12.0, 2026.0)","(48.0, 1894.0)","(63.83, 2009.17)"
420,"(20.0, 1988.0)","(11.83, 1928.17)","(-53.0, 1932.0)","(-34.0, 2011.0)","(12.0, 2032.0)","(47.83, 1896.83)","(63.81, 2023.19)"
421,"(19.0, 1996.0)","(12.42, 1937.08)","(-56.0, 1946.0)","(-34.0, 2011.0)","(13.0, 2042.0)","(49.14, 1895.31)","(70.0, 2048.0)"
422,"(18.0, 2002.0)","(13.0, 1946.0)","(-54.0, 1958.0)","(-38.0, 2011.0)","(8.0, 2046.0)","(47.0, 1896.0)","(62.0, 2066.0)"
423,"(19.0, 2010.0)","(20.0, 1954.0)","(-52.0, 1971.0)","(-36.0, 2012.0)","(8.0, 2054.0)","(50.0, 1900.0)","(50.0, 2076.0)"
424,"(19.0, 2010.0)","(20.0, 1954.0)","(-52.0, 1971.0)","(-36.0, 2012.0)","(8.0, 2054.0)","(50.0, 1900.0)","(50.0, 2076.0)"
425,"(16.0, 2014.0)","(12.0, 1960.0)","(-56.0, 1990.0)","(-34.0, 2020.0)","(6.0, 2062.0)","(50.0, 1904.0)","(52.0, 2086.0)"
426,"(16.0, 2020.0)","(12.0, 1966.0)","(-55.0, 1994.0)","(-34.0, 2022.0)","(4.0, 2066.0)","(48.0, 1909.0)","(62.0, 2090.0)"
427,"(18.0, 2026.0)","(16.0, 1973.0)","(-45.0, 2000.0)","(-34.0, 2026.0)","(9.0, 2076.0)","(51.0, 1914.0)","(62.0, 2092.0)"
428,"(14.0, 2036.0)","(14.0, 1976.0)","(-42.0, 2000.0)","(-30.0, 2030.0)","(2.0, 2082.0)","(47.83, 1925.83)","(62.0, 2092.0)"
429,"(14.0, 2040.0)","(17.0, 1983.0)","(-44.0, 1998.0)","(-30.0, 2032.0)","(2.0, 2088.0)","(46.0, 1936.0)","(62.0, 2092.0)"
430,"(14.0, 2040.0)","(17.0, 1983.0)","(-44.0, 1998.0)","(-30.0, 2032.0)","(2.0, 2088.0)","(46.0, 1936.0)","(62.0, 2092.0)"
431,"(14.0, 2044.0)","(16.0, 1986.67)","(-42.0, 1998.0)","(-28.0, 2037.0)","(4.0, 2092.0)","(45.0, 1950.0)","(57.0, 2092.0)"
432,"(14.0, 2044.0)","(15.0, 1990.33)","(-42.0, 1998.0)","(-28.0, 2037.0)","(4.0, 2092.0)","(45.0, 1950.0)","(57.0, 2092.0)"
433,"(11.0, 2054.0)","(14.0, 1994.0)","(-40.0, 1998.0)","(-36.0, 2048.0)","(4.0, 2098.0)","(46.0, 1956.0)","(54.0, 2096.0)"
434,"(11.0, 2058.0)","(18.0, 2002.0)","(-40.0, 1998.0)","(-42.0, 2064.0)","(-2.0, 2103.0)","(48.67, 1973.17)","(54.0, 2096.0)"
435,"(12.0, 2064.0)","(18.67, 2006.67)","(-40.0, 1998.0)","(-49.0, 2074.0)","(1.0, 2108.0)","(56.0, 2006.0)","(48.0, 2094.0)"
436,"(12.0, 2064.0)","(19.33, 2011.33)","(-40.0, 1998.0)","(-46.0, 2075.0)","(1.0, 2108.0)","(51.94, 1990.03)","(48.0, 2094.0)"
437,"(9.0, 2070.0)","(20.0, 2016.0)","(-36.0, 1998.0)","(-49.0, 2084.0)","(0.0, 2114.0)","(52.0, 1994.0)","(46.0, 2094.0)"
438,"(6.0, 2074.0)","(24.0, 2026.0)","(-35.0, 1998.0)","(-50.5, 2101.5)","(2.0, 2120.0)","(55.99, 2011.34)","(44.0, 2090.0)"
439,"(-2.0, 2082.0)","(17.0, 2032.0)","(-36.0, 1998.0)","(-54.0, 2124.0)","(2.0, 2126.0)","(60.0, 2014.0)","(42.0, 2088.0)"
440,"(-2.0, 2090.0)","(20.0, 2044.0)","(-36.0, 1998.0)","(-50.58, 2129.58)","(6.0, 2134.0)","(62.0, 2032.0)","(38.0, 2088.0)"
441,"(-4.0, 2096.0)","(16.0, 2050.0)","(-38.0, 2000.0)","(-49.0, 2162.0)","(6.0, 2138.0)","(70.0, 2044.0)","(33.0, 2086.0)"
442,"(-4.0, 2096.0)","(16.0, 2050.0)","(-38.0, 2000.0)","(-49.0, 2162.0)","(6.0, 2138.0)","(70.0, 2044.0)","(33.0, 2086.0)"
443,"(0.0, 2101.0)","(14.0, 2048.0)","(-38.0, 2002.0)","(-46.0, 2174.0)","(11.0, 2144.0)","(76.0, 2058.0)","(26.0, 2086.0)"
444,"(-6.0, 2106.0)","(11.0, 2056.0)","(-34.0, 2004.0)","(-40.0, 2183.0)","(11.0, 2149.0)","(65.0, 2063.5)","(26.0, 2094.0)"
445,"(-4.0, 2108.0)","(-2.0, 2048.0)","(-38.0, 2002.0)","(-38.0, 2192.0)","(7.0, 2152.0)","(64.0, 2078.0)","(37.67, 2094.33)"
446,"(0.0, 2113.0)","(2.0, 2050.0)","(-36.0, 2012.0)","(-34.0, 2199.0)","(12.0, 2159.0)","(60.0, 2081.0)","(48.0, 2100.0)"
447,"(0.0, 2118.0)","(6.0, 2062.0)","(-35.0, 2020.0)","(-34.0, 2200.0)","(12.0, 2164.0)","(59.0, 2082.0)","(45.0, 2100.0)"
448,"(0.0, 2128.0)","(2.0, 2068.0)","(-32.0, 2024.0)","(-38.0, 2200.0)","(19.0, 2174.0)","(60.0, 2082.0)","(42.0, 2110.0)"
449,"(3.0, 2132.0)","(3.0, 2079.0)","(-28.0, 2031.0)","(-33.0, 2202.0)","(14.0, 2178.0)","(53.17, 2083.33)","(42.0, 2116.0)"
450,"(3.0, 2132.0)","(3.0, 2079.0)","(-28.0, 2031.0)","(-34.0, 2202.0)","(14.0, 2178.0)","(55.53, 2083.22)","(42.0, 2116.0)"
451,"(9.0, 2136.0)","(2.0, 2072.0)","(-32.0, 2036.0)","(-38.0, 2200.0)","(16.0, 2182.0)","(52.0, 2088.0)","(44.0, 2120.0)"
452,"(12.0, 2141.0)","(8.0, 2088.0)","(-28.0, 2044.0)","(-38.0, 2200.0)","(18.0, 2190.0)","(54.0, 2086.0)","(44.0, 2126.0)"
453,"(12.0, 2146.0)","(5.0, 2096.0)","(-34.0, 2054.0)","(-38.0, 2200.0)","(18.0, 2194.0)","(44.0, 2090.0)","(49.33, 2145.67)"
454,"(13.0, 2152.0)","(10.0, 2100.0)","(-38.0, 2066.0)","(-38.0, 2202.0)","(14.0, 2204.0)","(45.0, 2090.0)","(56.0, 2172.0)"
455,"(17.0, 2160.0)","(14.0, 2108.0)","(-41.33, 2075.0)","(-34.0, 2202.0)","(12.0, 2210.0)","(53.0, 2081.0)","(60.0, 2184.0)"
456,"(17.0, 2160.0)","(14.0, 2108.0)","(-46.0, 2090.0)","(-34.0, 2202.0)","(12.0, 2210.0)","(53.0, 2081.0)","(60.0, 2184.0)"
457,"(19.0, 2172.0)","(12.0, 2117.0)","(-56.0, 2106.0)","(-34.0, 2202.0)","(15.0, 2216.0)","(51.0, 2084.0)","(66.0, 2202.0)"
458,"(20.0, 2178.0)","(9.0, 2118.0)","(-54.0, 2120.0)","(-38.0, 2200.0)","(14.0, 2222.0)","(49.33, 2086.5)","(66.0, 2220.0)"
459,"(20.0, 2185.0)","(10.0, 2126.0)","(-53.0, 2136.0)","(-36.0, 2200.0)","(12.0, 2230.0)","(48.0, 2084.0)","(70.0, 2236.0)"
460,"(19.0, 2192.0)","(18.0, 2139.0)","(-52.0, 2148.0)","(-36.0, 2200.0)","(12.0, 2236.0)","(49.0, 2086.0)","(60.33, 2241.0)"
461,"(22.0, 2198.0)","(18.0, 2144.0)","(-56.0, 2160.0)","(-37.0, 2202.0)","(10.0, 2244.0)","(48.0, 2086.0)","(49.0, 2266.0)"
462,"(22.0, 2198.0)","(18.0, 2144.0)","(-56.0, 2160.0)","(-35.0, 2202.0)","(10.0, 2244.0)","(48.0, 2086.0)","(49.0, 2266.0)"
463,"(15.0, 2202.0)","(14.0, 2150.0)","(-56.0, 2178.0)","(-34.0, 2210.0)","(5.0, 2250.0)","(50.0, 2092.0)","(54.0, 2276.0)"
464,"(16.0, 2210.0)","(13.0, 2156.0)","(-50.0, 2184.0)","(-38.0, 2210.0)","(5.0, 2256.0)","(50.0, 2100.0)","(58.0, 2280.0)"
465,"(20.0, 2216.0)","(20.0, 2162.0)","(-50.0, 2188.0)","(-31.0, 2215.0)","(6.0, 2264.0)","(56.0, 2104.0)","(58.0, 2282.0)"
466,"(12.0, 2224.0)","(18.0, 2162.0)","(-46.0, 2188.0)","(-30.0, 2220.0)","(0.0, 2270.0)","(49.0, 2115.0)","(58.0, 2282.0)"
467,"(10.0, 2229.0)","(17.0, 2173.0)","(-42.0, 2188.0)","(-34.0, 2220.0)","(4.0, 2278.0)","(49.0, 2117.5)","(60.0, 2284.0)"
468,"(10.0, 2229.0)","(17.0, 2173.0)","(-42.0, 2188.0)","(-34.0, 2220.0)","(4.0, 2278.0)","(46.0, 2124.0)","(60.0, 2284.0)"
469,"(14.0, 2234.0)","(22.0, 2178.0)","(-40.0, 2188.0)","(-30.0, 2226.0)","(5.0, 2281.0)","(47.0, 2138.0)","(60.0, 2284.0)"
470,"(14.0, 2234.0)","(22.0, 2178.0)","(-40.0, 2188.0)","(-30.0, 2226.0)","(5.0, 2281.0)","(47.0, 2138.0)","(58.0, 2284.0)"
471,"(11.0, 2243.0)","(19.0, 2185.0)","(-38.0, 2188.0)","(-34.0, 2238.0)","(4.0, 2287.0)","(47.0, 2146.0)","(54.0, 2284.0)"
472,"(8.0, 2246.0)","(16.0, 2192.0)","(-39.0, 2188.0)","(-40.0, 2253.0)","(-4.0, 2292.0)","(50.17, 2157.33)","(51.0, 2284.0)"
473,"(12.0, 2252.0)","(18.0, 2196.67)","(-38.0, 2188.0)","(-46.0, 2265.0)","(-4.0, 2296.0)","(54.0, 2168.0)","(48.0, 2284.0)"
474,"(12.0, 2252.0)","(20.0, 2201.33)","(-36.0, 2188.0)","(-46.0, 2265.0)","(-4.0, 2296.0)","(54.0, 2168.0)","(48.0, 2284.0)"
475,"(10.0, 2258.0)","(22.0, 2206.0)","(-40.0, 2186.0)","(-46.0, 2274.0)","(0.0, 2302.0)","(54.19, 2187.39)","(44.0, 2284.0)"
476,"(0.0, 2264.0)","(20.0, 2212.0)","(-38.0, 2186.0)","(-50.5, 2291.5)","(6.0, 2310.0)","(56.0, 2220.0)","(46.0, 2280.0)"
477,"(0.0, 2272.0)","(17.0, 2222.0)","(-36.0, 2187.0)","(-58.0, 2314.0)","(6.0, 2316.0)","(62.0, 2204.0)","(42.0, 2278.0)"
478,"(-2.0, 2279.0)","(18.0, 2228.0)","(-40.0, 2186.0)","(-50.75, 2319.58)","(4.0, 2322.0)","(63.0, 2222.0)","(40.0, 2278.0)"
