Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
57.75,"(17.50, 230.50)","(15.00, 177.25)","(-34.00, 231.00)","(-47.50, 204.50)","(7.75, 279.50)","(50.25, 118.75)","(62.00, 297.50)"
58.0,"(18.00, 232.00)","(16.00, 179.00)","(-34.00, 232.00)","(-45.00, 206.00)","(9.00, 282.00)","(51.00, 120.00)","(62.00, 298.00)"
58.25,"(17.00, 234.50)","(15.50, 179.75)","(-33.00, 233.00)","(-44.25, 206.00)","(7.25, 283.50)","(50.21, 122.96)","(62.00, 298.00)"
58.5,"(16.00, 237.00)","(15.00, 180.50)","(-32.00, 234.00)","(-43.50, 206.00)","(5.50, 285.00)","(49.41, 125.92)","(62.00, 298.00)"
58.75,"(15.00, 239.50)","(14.50, 181.25)","(-31.00, 235.00)","(-42.75, 206.00)","(3.75, 286.50)","(48.62, 128.87)","(62.00, 298.00)"
59.0,"(14.00, 242.00)","(14.00, 182.00)","(-30.00, 236.00)","(-42.00, 206.00)","(2.00, 288.00)","(47.83, 131.83)","(62.00, 298.00)"
59.25,"(14.00, 243.00)","(14.75, 183.75)","(-30.00, 236.50)","(-42.50, 205.50)","(2.00, 289.50)","(47.37, 134.37)","(62.00, 298.00)"
59.5,"(14.00, 244.00)","(15.50, 185.50)","(-30.00, 237.00)","(-43.00, 205.00)","(2.00, 291.00)","(46.91, 136.92)","(62.00, 298.00)"
59.75,"(14.00, 245.00)","(16.25, 187.25)","(-30.00, 237.50)","(-43.50, 204.50)","(2.00, 292.50)","(46.46, 139.46)","(62.00, 298.00)"
60.0,"(14.00, 246.00)","(17.00, 189.00)","(-30.00, 238.00)","(-44.00, 204.00)","(2.00, 294.00)","(46.00, 142.00)","(62.00, 298.00)"
60.25,"(14.00, 246.00)","(17.00, 189.00)","(-30.00, 238.00)","(-44.00, 204.00)","(2.00, 294.00)","(46.00, 142.00)","(62.00, 298.00)"
60.5,"(14.00, 246.00)","(17.00, 189.00)","(-30.00, 238.00)","(-44.00, 204.00)","(2.00, 294.00)","(46.00, 142.00)","(62.00, 298.00)"
60.75,"(14.00, 246.00)","(17.00, 189.00)","(-30.00, 238.00)","(-44.00, 204.00)","(2.00, 294.00)","(46.00, 142.00)","(62.00, 298.00)"
61.0,"(14.00, 246.00)","(17.00, 189.00)","(-30.00, 238.00)","(-44.00, 204.00)","(2.00, 294.00)","(46.00, 142.00)","(62.00, 298.00)"
61.25,"(14.00, 247.00)","(16.75, 189.92)","(-29.50, 239.25)","(-43.50, 204.00)","(2.50, 295.00)","(45.75, 145.50)","(60.75, 298.00)"
61.5,"(14.00, 248.00)","(16.50, 190.83)","(-29.00, 240.50)","(-43.00, 204.00)","(3.00, 296.00)","(45.50, 149.00)","(59.50, 298.00)"
61.75,"(14.00, 249.00)","(16.25, 191.75)","(-28.50, 241.75)","(-42.50, 204.00)","(3.50, 297.00)","(45.25, 152.50)","(58.25, 298.00)"
