Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
15.340594059405941,"(5.77, 19.94)","(-1.40, -42.55)","(-48.34, 29.83)","(-57.63, -7.56)","(-4.18, 60.36)","(23.19, -99.71)","(52.31, 87.98)"
15.592079207920792,"(5.83, 21.54)","(-1.96, -43.79)","(-47.85, 30.69)","(-57.35, -2.72)","(-2.55, 62.09)","(24.38, -99.51)","(51.24, 89.80)"
15.843564356435644,"(5.47, 23.16)","(-2.22, -45.16)","(-47.09, 30.87)","(-57.39, 1.73)","(-1.64, 63.47)","(25.40, -98.19)","(51.22, 92.02)"
16.095049504950495,"(4.90, 24.59)","(-2.10, -45.41)","(-46.10, 30.59)","(-58.10, 4.59)","(-2.10, 64.59)","(25.90, -95.41)","(51.90, 94.59)"
16.346534653465348,"(4.36, 25.70)","(-1.66, -43.74)","(-45.06, 30.24)","(-59.51, 5.13)","(-4.10, 65.69)","(25.77, -91.26)","(52.63, 97.28)"
16.598019801980197,"(4.31, 26.40)","(-0.75, -40.24)","(-43.87, 30.07)","(-60.91, 3.33)","(-6.89, 66.96)","(25.54, -86.25)","(53.14, 99.68)"
16.84950495049505,"(4.60, 26.93)","(0.26, -35.71)","(-42.81, 30.23)","(-61.89, 0.07)","(-9.79, 68.60)","(25.41, -80.77)","(52.93, 101.51)"
17.100990099009902,"(5.05, 27.83)","(1.05, -31.17)","(-41.95, 30.83)","(-61.95, -3.17)","(-11.95, 70.83)","(25.65, -74.78)","(52.05, 102.83)"
17.35247524752475,"(5.45, 29.49)","(1.35, -27.67)","(-41.24, 31.74)","(-60.95, -5.07)","(-12.93, 73.58)","(26.30, -68.13)","(50.82, 103.75)"
17.603960396039604,"(5.47, 31.68)","(0.79, -26.09)","(-40.78, 32.48)","(-59.35, -5.25)","(-12.98, 76.29)","(27.02, -61.08)","(49.48, 104.16)"
17.855445544554456,"(5.26, 34.24)","(-0.44, -26.22)","(-40.39, 33.11)","(-57.53, -3.74)","(-12.49, 78.74)","(27.64, -53.87)","(48.48, 104.40)"
18.10693069306931,"(5.02, 36.00)","(-1.98, -28.00)","(-39.98, 33.00)","(-55.98, -2.00)","(-11.98, 80.00)","(28.02, -48.00)","(48.02, 104.00)"
18.358415841584158,"(4.93, 36.35)","(-3.30, -30.52)","(-39.59, 32.17)","(-55.00, -1.18)","(-11.81, 79.86)","(28.14, -44.67)","(48.00, 102.98)"
18.60990099009901,"(5.04, 36.37)","(-3.86, -31.54)","(-39.33, 32.00)","(-54.61, -0.78)","(-11.95, 79.72)","(28.12, -43.48)","(48.21, 102.72)"
18.861386138613863,"(5.17, 36.15)","(-3.41, -30.61)","(-39.42, 32.39)","(-54.68, -1.09)","(-12.14, 79.75)","(28.05, -44.74)","(48.28, 103.15)"
19.112871287128712,"(5.24, 36.34)","(-1.76, -27.66)","(-39.76, 33.34)","(-54.76, -1.66)","(-11.76, 80.34)","(28.24, -47.66)","(48.24, 104.34)"
19.364356435643565,"(5.14, 37.33)","(0.77, -23.49)","(-40.27, 34.54)","(-54.56, -2.04)","(-10.50, 81.48)","(28.76, -51.14)","(48.14, 105.97)"
19.615841584158417,"(4.59, 38.90)","(3.31, -19.58)","(-40.99, 35.35)","(-54.20, -2.26)","(-8.67, 82.60)","(29.30, -54.33)","(47.90, 107.26)"
19.867326732673266,"(3.85, 41.00)","(5.28, -16.84)","(-41.59, 35.84)","(-53.61, -2.11)","(-6.60, 83.55)","(29.81, -56.28)","(47.85, 108.04)"
20.11881188118812,"(2.61, 43.27)","(5.61, -15.73)","(-42.39, 36.27)","(-53.39, -1.73)","(-5.39, 84.27)","(29.61, -56.73)","(47.61, 108.27)"
20.37029702970297,"(1.06, 45.28)","(4.14, -16.05)","(-43.32, 37.01)","(-53.63, -1.34)","(-5.56, 84.88)","(28.60, -56.03)","(47.20, 108.18)"
20.62178217821782,"(-0.02, 46.73)","(1.89, -17.04)","(-43.74, 38.30)","(-53.64, -1.11)","(-6.56, 85.68)","(27.53, -54.73)","(47.24, 108.12)"
20.873267326732673,"(-0.76, 47.39)","(-0.53, -17.82)","(-43.97, 39.91)","(-53.51, -1.21)","(-8.28, 86.81)","(26.48, -53.30)","(47.47, 108.19)"
21.124752475247526,"(-0.76, 47.97)","(-1.76, -17.03)","(-43.76, 41.97)","(-52.76, -1.03)","(-9.76, 88.97)","(26.24, -51.03)","(48.24, 108.97)"
21.376237623762375,"(-0.24, 48.71)","(-1.24, -14.36)","(-43.46, 43.93)","(-51.63, -0.53)","(-10.62, 91.97)","(27.02, -47.33)","(49.30, 110.12)"
21.627722772277227,"(0.05, 49.26)","(0.52, -10.72)","(-43.92, 44.81)","(-51.04, -0.37)","(-11.27, 94.81)","(28.35, -42.16)","(49.88, 110.57)"
21.87920792079208,"(0.18, 49.95)","(3.23, -6.69)","(-45.10, 44.92)","(-51.10, -0.52)","(-11.63, 97.21)","(30.33, -35.11)","(50.10, 110.15)"
22.13069306930693,"(-0.27, 51.02)","(5.73, -2.98)","(-47.27, 45.02)","(-52.27, -0.98)","(-12.27, 99.02)","(32.40, -26.48)","(49.73, 109.02)"
22.38217821782178,"(-1.21, 52.51)","(7.28, -0.16)","(-50.05, 46.08)","(-54.22, -1.70)","(-13.22, 100.27)","(34.32, -17.35)","(49.17, 107.67)"
22.633663366336634,"(-2.23, 54.31)","(7.82, 1.58)","(-52.61, 48.83)","(-56.06, -2.56)","(-13.97, 101.19)","(36.15, -9.11)","(49.27, 106.79)"
22.885148514851487,"(-3.53, 56.24)","(7.19, 2.47)","(-54.71, 53.35)","(-57.45, -3.37)","(-14.38, 102.05)","(37.40, -2.87)","(50.17, 106.87)"
23.136633663366336,"(-4.92, 57.74)","(6.08, 2.74)","(-55.92, 58.74)","(-57.92, -4.26)","(-13.92, 102.74)","(38.08, 0.74)","(52.08, 107.74)"
23.38811881188119,"(-6.47, 58.74)","(5.08, 3.08)","(-56.35, 64.00)","(-57.69, -5.00)","(-12.58, 103.43)","(38.07, 2.42)","(54.50, 109.08)"
23.63960396039604,"(-8.26, 59.49)","(4.57, 4.20)","(-56.41, 68.36)","(-57.43, -5.24)","(-10.77, 104.37)","(37.37, 3.67)","(56.49, 110.45)"
23.89108910891089,"(-9.89, 60.09)","(4.93, 6.19)","(-56.24, 71.25)","(-57.47, -4.97)","(-8.75, 105.50)","(36.53, 5.65)","(57.46, 111.14)"
24.142574257425743,"(-11.14, 59.82)","(5.86, 7.82)","(-56.14, 71.82)","(-58.14, -5.18)","(-7.14, 105.82)","(35.86, 7.82)","(56.86, 109.82)"
24.394059405940595,"(-11.73, 59.11)","(6.91, 8.76)","(-56.13, 70.96)","(-59.16, -5.68)","(-6.22, 105.55)","(35.72, 9.85)","(54.85, 106.90)"
24.645544554455444,"(-11.52, 58.88)","(7.56, 9.21)","(-56.09, 70.31)","(-59.83, -5.76)","(-5.99, 105.47)","(36.18, 11.25)","(52.16, 103.83)"
24.897029702970297,"(-10.85, 59.16)","(7.26, 8.88)","(-56.07, 70.53)","(-59.59, -5.51)","(-6.37, 105.57)","(36.77, 10.74)","(49.57, 101.56)"
25.14851485148515,"(-10.14, 60.76)","(5.86, 8.76)","(-56.14, 72.76)","(-58.14, -4.24)","(-7.14, 106.76)","(36.86, 8.76)","(47.86, 101.76)"
25.4,"(-9.75, 63.15)","(3.68, 8.90)","(-56.37, 76.40)","(-55.66, -2.65)","(-8.05, 108.58)","(36.00, 5.59)","(47.41, 104.30)"
25.65148514851485,"(-9.76, 65.40)","(1.39, 9.10)","(-56.78, 80.27)","(-52.78, -1.89)","(-8.87, 110.24)","(34.19, 2.12)","(48.16, 108.00)"
25.902970297029704,"(-9.99, 67.31)","(-0.34, 9.70)","(-57.34, 83.97)","(-50.36, -2.38)","(-9.56, 111.62)","(31.88, 0.13)","(49.54, 111.86)"
26.154455445544556,"(-10.18, 69.09)","(-1.18, 11.09)","(-58.01, 87.76)","(-49.18, -3.91)","(-10.18, 113.09)","(29.82, 1.09)","(50.82, 115.09)"
26.405940594059405,"(-10.13, 70.72)","(-1.20, 12.93)","(-58.69, 91.82)","(-49.49, -6.25)","(-10.79, 114.70)","(28.72, 4.90)","(51.42, 116.89)"
26.657425742574258,"(-9.87, 72.17)","(-0.84, 14.69)","(-59.28, 96.35)","(-50.95, -8.81)","(-11.37, 116.50)","(28.92, 10.17)","(51.20, 117.04)"
26.90891089108911,"(-9.74, 73.62)","(-0.70, 16.09)","(-59.77, 101.53)","(-52.80, -10.61)","(-11.88, 118.65)","(30.17, 15.09)","(50.46, 116.14)"
27.16039603960396,"(-9.68, 74.92)","(-0.68, 16.92)","(-59.68, 106.92)","(-53.68, -11.08)","(-11.68, 120.92)","(32.32, 17.92)","(50.32, 114.92)"
27.411881188118812,"(-10.24, 76.12)","(-0.98, 17.53)","(-59.26, 111.99)","(-53.27, -9.84)","(-10.92, 123.20)","(34.34, 18.19)","(51.09, 114.28)"
27.663366336633665,"(-11.72, 77.24)","(-1.47, 18.51)","(-58.83, 116.20)","(-51.88, -7.13)","(-9.90, 125.29)","(35.44, 16.74)","(52.65, 114.67)"
27.914851485148514,"(-13.74, 78.18)","(-1.53, 20.27)","(-58.32, 119.14)","(-50.08, -3.84)","(-8.76, 126.91)","(35.60, 15.12)","(54.64, 115.80)"
28.166336633663366,"(-15.95, 79.45)","(-0.95, 23.45)","(-57.95, 121.45)","(-48.95, -0.55)","(-7.95, 128.45)","(35.05, 15.45)","(56.05, 117.45)"
28.41782178217822,"(-17.56, 80.95)","(0.50, 27.61)","(-57.49, 123.51)","(-49.00, 1.69)","(-7.45, 129.79)","(34.63, 18.36)","(56.20, 118.57)"
28.669306930693068,"(-18.02, 82.67)","(2.60, 32.02)","(-56.76, 125.90)","(-50.21, 2.40)","(-7.08, 131.02)","(35.05, 23.36)","(54.75, 118.46)"
28.92079207920792,"(-17.35, 84.82)","(4.68, 36.12)","(-55.85, 129.21)","(-52.14, 2.04)","(-6.66, 132.50)","(36.34, 29.24)","(51.81, 117.23)"
29.172277227722773,"(-15.80, 86.83)","(6.20, 38.83)","(-54.80, 132.83)","(-53.80, 0.83)","(-5.80, 133.83)","(38.20, 33.83)","(48.20, 114.83)"
29.423762376237622,"(-14.04, 88.94)","(6.69, 40.42)","(-53.92, 136.58)","(-54.46, 0.06)","(-4.42, 135.40)","(39.78, 36.44)","(44.82, 112.51)"
29.675247524752475,"(-12.67, 91.18)","(6.17, 41.38)","(-53.46, 139.89)","(-53.80, 0.58)","(-2.60, 137.30)","(40.37, 37.21)","(42.50, 111.31)"
29.926732673267328,"(-11.94, 93.23)","(5.12, 42.08)","(-53.46, 142.05)","(-52.01, 2.36)","(-0.59, 139.21)","(39.76, 36.90)","(41.68, 111.51)"
30.178217821782177,"(-11.90, 94.12)","(4.10, 42.12)","(-53.90, 142.12)","(-49.90, 4.12)","(1.10, 140.12)","(38.27, 35.95)","(42.10, 112.12)"
30.42970297029703,"(-12.19, 94.27)","(3.68, 42.09)","(-54.44, 141.04)","(-48.28, 5.48)","(2.16, 140.34)","(36.76, 35.74)","(43.20, 112.94)"
30.681188118811882,"(-12.41, 94.15)","(4.06, 42.22)","(-54.74, 140.09)","(-47.75, 6.04)","(2.43, 140.27)","(36.10, 36.83)","(44.23, 113.51)"
30.932673267326734,"(-12.33, 94.03)","(5.02, 42.29)","(-54.58, 140.27)","(-48.43, 5.54)","(1.97, 140.13)","(36.69, 38.77)","(44.59, 113.29)"
31.184158415841583,"(-12.01, 95.07)","(5.99, 43.07)","(-54.01, 143.07)","(-50.01, 5.07)","(0.99, 141.07)","(38.18, 41.71)","(43.99, 113.07)"
31.435643564356436,"(-11.49, 96.69)","(6.61, 43.89)","(-53.08, 147.70)","(-51.69, 4.55)","(0.01, 142.58)","(39.88, 44.42)","(42.74, 112.50)"
31.68712871287129,"(-10.90, 98.41)","(6.73, 44.52)","(-51.95, 152.97)","(-52.73, 4.18)","(-0.54, 144.23)","(40.88, 46.52)","(41.39, 111.71)"
31.938613861386138,"(-10.39, 99.95)","(6.42, 45.19)","(-50.88, 157.74)","(-52.79, 4.34)","(-0.51, 145.81)","(40.52, 48.57)","(40.40, 111.15)"
