Frame,A,B,C,D,E,F,G,H,I,J,K,L,M
42,"(5, 177)","(-24, 137)","(-9, 133)","(7, 151)","(24, 147)","(41, 151)","(12, 124)","(-36, 88)","(-16, 98)","(7, 89)","(23, 78)","(31, 65)","(-1, 64)"
43,"(3, 182)","(-24, 137)","(-9, 135)","(6, 157)","(26, 154)","(43, 162)","(11, 129)","(-37, 96)","(-15, 105)","(8, 94)","(25, 79)","(31, 64)","(0, 69)"
44,"(3, 184)","(-24, 138)","(-9, 138)","(5, 160)","(23, 159)","(39, 173)","(10, 132)","(-35, 105)","(-15, 111)","(10, 99)","(24, 82)","(31, 65)","(1, 75)"
45,"(2, 189)","(-25, 139)","(-10, 144)","(4, 165)","(23, 164)","(32, 181)","(10, 137)","(-35, 113)","(-14, 116)","(8, 102)","(23, 84)","(31, 66)","(4, 84)"
46,"(1, 193)","(-24, 143)","(-10, 147)","(3, 170)","(22, 169)","(35, 186)","(10, 141)","(-35, 125)","(-14, 122)","(7, 106)","(22, 91)","(32, 70)","(1, 81)"
47,"(0, 197)","(-24, 144)","(-10, 151)","(3, 173)","(21, 175)","(35, 188)","(10, 145)","(-35, 127)","(-13, 125)","(7, 110)","(23, 95)","(32, 73)","(2, 84)"
48,"(1, 201)","(-24, 147)","(-11, 159)","(3, 179)","(23, 178)","(37, 189)","(12, 148)","(-32, 129)","(-13, 128)","(9, 114)","(26, 99)","(34, 77)","(3, 87)"
49,"(1, 205)","(-21, 149)","(-11, 163)","(0, 183)","(22, 181)","(37, 190)","(8, 154)","(-29, 131)","(-12, 131)","(8, 116)","(28, 104)","(29, 85)","(6, 91)"
50,"(0, 209)","(-20, 151)","(-13, 165)","(1, 187)","(21, 185)","(36, 190)","(6, 157)","(-28, 130)","(-13, 134)","(10, 120)","(26, 109)","(30, 90)","(8, 99)"
51,"(-1, 212)","(-20, 154)","(-13, 170)","(0, 189)","(20, 187)","(36, 190)","(8, 159)","(-27, 130)","(-13, 137)","(11, 127)","(29, 115)","(28, 98)","(8, 104)"
52,"(-1, 212)","(-20, 155)","(-13, 170)","(1, 189)","(20, 187)","(36, 190)","(9, 160)","(-27, 129)","(-13, 137)","(11, 127)","(29, 115)","(28, 99)","(8, 104)"
53,"(-1, 216)","(-23, 162)","(-15, 176)","(0, 193)","(17, 189)","(35, 191)","(6, 166)","(-26, 129)","(-12, 141)","(9, 130)","(27, 125)","(29, 104)","(8, 103)"
54,"(1, 221)","(-28, 171)","(-15, 181)","(-3, 197)","(16, 190)","(34, 192)","(5, 168)","(-26, 129)","(-11, 142)","(10, 135)","(29, 131)","(31, 109)","(10, 104)"
55,"(2, 225)","(-31, 178)","(-17, 186)","(-3, 200)","(16, 191)","(32, 191)","(6, 171)","(-25, 130)","(-11, 141)","(12, 139)","(31, 136)","(33, 118)","(12, 114)"
56,"(1, 229)","(-32, 185)","(-19, 190)","(-1, 203)","(16, 192)","(29, 190)","(3, 175)","(-25, 129)","(-12, 140)","(10, 145)","(31, 144)","(33, 129)","(11, 115)"
57,"(2, 233)","(-36, 199)","(-18, 197)","(0, 208)","(15, 193)","(28, 188)","(0, 180)","(-25, 129)","(-12, 139)","(11, 149)","(32, 152)","(35, 136)","(14, 120)"
58,"(5, 235)","(-36, 210)","(-19, 206)","(1, 212)","(13, 197)","(27, 187)","(-1, 184)","(-24, 129)","(-11, 139)","(12, 153)","(30, 158)","(39, 141)","(16, 128)"
59,"(6, 239)","(-36, 222)","(-19, 214)","(2, 217)","(12, 199)","(24, 186)","(-3, 189)","(-25, 129)","(-11, 141)","(10, 158)","(31, 163)","(40, 151)","(14, 129)"
60,"(8, 243)","(-33, 234)","(-19, 222)","(4, 220)","(12, 199)","(19, 186)","(-3, 193)","(-25, 132)","(-11, 144)","(8, 163)","(30, 172)","(45, 160)","(16, 136)"
61,"(8, 246)","(-31, 242)","(-17, 228)","(4, 223)","(11, 202)","(16, 186)","(-2, 195)","(-25, 131)","(-11, 146)","(9, 165)","(30, 175)","(47, 168)","(17, 139)"
62,"(9, 250)","(-27, 247)","(-16, 232)","(4, 226)","(9, 207)","(15, 191)","(-4, 199)","(-24, 133)","(-11, 152)","(7, 167)","(30, 179)","(49, 174)","(15, 143)"
63,"(9, 254)","(-26, 255)","(-17, 237)","(4, 229)","(9, 211)","(15, 195)","(-2, 202)","(-24, 134)","(-11, 153)","(6, 170)","(30, 182)","(48, 182)","(15, 146)"
